reviewerID,asin,reviewerName,helpful,reviewText,overall,summary,unixReviewTime,reviewTime
550,0,1226,"[0, 0]",5978,5.0,8122,1393545600,2014-02-28
55,0,510,"[13, 14]",6922,5.0,4284,1363392000,2013-03-16
92,0,950,"[1, 1]",6919,5.0,4090,1377648000,2013-08-28
482,0,982,"[0, 0]",5890,5.0,2142,1392336000,2014-02-14
1145,0,1000,"[0, 0]",8516,5.0,5193,1392940800,2014-02-21
461,1,115,"[0, 0]",6468,5.0,6580,1356048000,2012-12-21
311,1,140,"[0, 0]",2936,5.0,4721,1390089600,2014-01-19
1256,1,381,"[0, 0]",3374,3.0,1347,1353024000,2012-11-16
986,1,396,"[0, 0]",6159,5.0,3033,1275134400,2008-07-06
1294,1,656,"[0, 0]",5684,5.0,716,1389139200,2014-01-08
599,1,787,"[6, 6]",5683,5.0,5431,1334793600,2012-04-19
795,2,212,"[0, 0]",2397,4.0,4154,1398124800,2014-04-22
597,2,509,"[0, 0]",4929,3.0,3612,1384646400,2013-11-17
131,2,756,"[0, 0]",3191,5.0,7914,1371340800,2013-06-16
77,2,1071,"[0, 0]",2124,5.0,4162,1356912000,2012-12-31
612,2,1165,"[0, 0]",2129,2.0,1323,1376697600,2013-08-17
1271,3,165,"[0, 0]",7563,4.0,1528,1376352000,2013-08-13
1112,3,193,"[0, 0]",10189,5.0,8086,1373328000,2013-07-09
514,3,199,"[3, 3]",4646,5.0,6205,1363564800,2013-03-18
139,3,431,"[0, 0]",965,5.0,332,1375833600,2013-08-07
170,3,755,"[0, 0]",7798,4.0,1055,1331856000,2012-03-16
532,3,955,"[0, 0]",6686,5.0,1936,1390953600,2014-01-29
889,3,1153,"[0, 0]",8965,4.0,3573,1354924800,2012-12-08
679,4,40,"[0, 0]",1306,5.0,5846,1341446400,2012-07-05
831,4,68,"[0, 0]",9259,5.0,3770,1383177600,2013-10-31
1408,4,764,"[0, 0]",613,4.0,4266,1372809600,2013-07-03
531,4,858,"[0, 0]",6817,5.0,5839,1327449600,2012-01-25
1405,4,1368,"[0, 0]",5503,5.0,4697,1381795200,2013-10-15
489,5,1206,"[1, 1]",6699,4.0,7174,1341964800,2012-07-11
435,5,275,"[0, 0]",1913,5.0,6389,1392768000,2014-02-19
225,5,295,"[0, 0]",6584,5.0,1461,1337990400,2012-05-26
1371,5,394,"[0, 0]",8914,5.0,2379,1376092800,2013-08-10
57,5,433,"[0, 0]",1581,4.0,2250,1394496000,2014-03-11
373,5,1271,"[0, 0]",8767,5.0,3219,1379289600,2013-09-16
1131,5,592,"[0, 0]",1883,5.0,1439,1325808000,2012-01-06
741,5,678,"[0, 0]",7655,4.0,1304,1329004800,2012-02-12
830,5,732,"[0, 0]",7184,4.0,1302,1379289600,2013-09-16
75,5,948,"[0, 0]",7808,4.0,7862,1387065600,2013-12-15
282,5,913,"[0, 0]",4847,5.0,3759,1379376000,2013-09-17
887,5,990,"[0, 0]",1980,4.0,1801,1355443200,2012-12-14
1339,5,1145,"[0, 0]",5876,5.0,8285,1372464000,2013-06-29
1158,6,1397,"[0, 0]",1247,5.0,2034,1405382400,2014-07-15
1173,6,10,"[0, 0]",9553,5.0,5759,1333152000,2012-03-31
1088,6,1194,"[0, 0]",6315,5.0,8763,1401235200,2014-05-28
820,6,39,"[0, 0]",1961,5.0,5027,1363132800,2013-03-13
831,6,68,"[0, 0]",8021,4.0,1392,1388966400,2014-01-06
35,6,1204,"[12, 13]",622,4.0,8096,1290038400,2010-11-18
156,6,112,"[0, 0]",6386,5.0,7732,1372291200,2013-06-27
176,6,1218,"[0, 0]",4469,5.0,8061,1359504000,2013-01-30
1019,6,157,"[0, 1]",7567,5.0,2821,1346803200,2012-09-05
24,6,159,"[2, 2]",2260,2.0,1035,1309910400,2011-07-06
658,6,163,"[0, 0]",543,5.0,1002,1393977600,2014-03-05
218,6,296,"[0, 0]",5163,1.0,3832,1391904000,2014-02-09
810,6,339,"[0, 0]",1740,4.0,8118,1370649600,2013-06-08
566,6,340,"[0, 0]",2730,5.0,4996,1399939200,2014-05-13
145,6,1263,"[0, 0]",8124,5.0,7428,1381190400,2013-10-08
783,6,430,"[0, 0]",6216,5.0,1607,1374710400,2013-07-25
287,6,1267,"[0, 0]",4032,5.0,8287,1392163200,2014-02-12
1267,6,440,"[0, 0]",8425,4.0,4918,1397779200,2014-04-18
983,6,444,"[0, 0]",9372,3.0,8432,1404518400,2014-07-05
1290,6,461,"[0, 0]",7254,5.0,3719,1390521600,2014-01-24
822,6,516,"[0, 0]",5065,5.0,8805,1389571200,2014-01-13
1114,6,561,"[0, 0]",1578,5.0,2384,1343001600,2012-07-23
628,6,565,"[0, 0]",8525,5.0,5168,1377388800,2013-08-25
919,6,571,"[0, 0]",1254,5.0,2298,1373068800,2013-07-06
242,6,570,"[0, 0]",7831,5.0,5595,1391385600,2014-02-03
1060,6,1298,"[3, 3]",7739,5.0,5033,1293580800,2010-12-29
